Date,Open,High,Low,Close,Adj Close,Volume
2022-10-04,55300,55400,54500,55200,54541.17578,19148435
2022-10-05,56900,57200,55400,56000,55331.625,22458970
2022-10-06,56700,57300,56300,56300,55628.04688,14944446
2022-10-07,55900,56900,55200,56200,55529.23828,16886813
2022-10-11,54400,55700,54000,55400,54738.78906,21437877
2022-10-12,55700,57000,55200,55800,55134.01172,18408910
2022-10-13,55400,56100,55200,55200,54541.17578,13784602
2022-10-14,56200,56500,55800,56300,55628.04688,12924326
2022-10-17,55800,57000,55700,56600,55924.46484,13641878
2022-10-18,56700,57100,55800,56500,55825.66016,14820702
2022-10-19,56700,56900,55700,55800,55134.01172,12660652
2022-10-20,55200,56000,55100,55500,54837.59766,17107653
2022-10-21,55100,56300,55100,55900,55232.82031,11456060
2022-10-24,57000,57500,56700,57500,56813.72266,16944503
2022-10-25,57000,58600,57000,57700,57011.33594,17405678
2022-10-26,58000,59600,57700,59400,58691.04688,20824967
2022-10-27,59700,60100,58900,59500,58789.85547,21756712
2022-10-28,58900,59200,57200,57300,56616.10938,20924937
2022-10-31,58100,59900,58000,59400,58691.04688,18999514
2022-11-01,59900,60300,59500,60000,59283.88672,17201647
2022-11-02,59700,60000,59300,59600,58888.66016,13202919
2022-11-03,58600,59800,58100,59200,58493.43359,17492162
2022-11-04,59100,59500,58400,59400,58691.04688,12445841
2022-11-07,59700,60300,59400,60200,59481.5,12437246
2022-11-08,60500,61900,60500,61800,61062.40625,18273898
2022-11-09,62000,62200,61300,62000,61260.01563,14045592
2022-11-10,61400,61500,60400,60400,59679.11328,21087633
2022-11-11,63100,63200,62300,62900,62149.27344,20037163
2022-11-14,62900,62900,61700,61900,61161.21094,15973416
2022-11-15,62200,62500,61600,62400,61655.24219,12310986
2022-11-16,62400,62700,61700,62700,61951.66016,12909260
2022-11-17,62000,62000,61300,61400,60667.17969,13298296
2022-11-18,61800,62400,61400,61800,61062.40625,12236503
2022-11-21,61400,61800,60800,61400,60667.17969,9378097
2022-11-22,60900,61200,60300,60600,59876.72266,9411289
2022-11-23,61200,61300,60700,61000,60271.94922,8765050
2022-11-24,61200,61700,60900,61400,60667.17969,8125010
2022-11-25,61400,61700,60800,61000,60271.94922,6677933
2022-11-28,60500,60500,59800,60100,59382.69531,8589032
2022-11-29,59900,60600,59800,60600,59876.72266,7014160
2022-11-30,60400,62200,60200,62200,61457.62891,19768903
2022-12-01,63100,63200,62300,62600,61852.85547,16631445
2022-12-02,62500,62500,60400,60400,59679.11328,15331184
2022-12-05,60900,61100,60000,60300,59580.30859,13767787
2022-12-06,59800,60100,59200,59200,58493.43359,13888300
2022-12-07,58800,59600,58500,58900,58197.01172,12100662
2022-12-08,58700,59200,58600,59200,58493.43359,12986815
2022-12-09,59300,60600,59300,60400,59679.11328,10529632
2022-12-12,59900,60000,59400,59500,58789.85547,9036472
2022-12-13,59600,60300,59400,59700,58987.46875,9040873
2022-12-14,59800,60600,59800,60500,59777.91797,8207485
2022-12-15,59800,60200,59300,59300,58592.24219,8716039
2022-12-16,58300,59500,58300,59500,58789.85547,13033596
2022-12-19,59500,59900,59100,59500,58789.85547,7696187
2022-12-20,59000,59100,58500,58600,57900.59766,9284761
2022-12-21,58700,59100,58000,58000,57307.75781,10356971
2022-12-22,58100,59100,58100,59100,58394.62891,10720630
2022-12-23,58200,58400,57700,58100,57406.5625,9829407
2022-12-26,58000,58100,57700,57900,57208.94922,6756411
2022-12-27,58000,58400,57900,58100,57406.5625,10667027
2022-12-28,57600,57600,56400,56600,56274.12109,14665410
2022-12-29,56000,56200,55300,55300,54981.60547,11295935
2023-01-02,55500,56100,55200,55500,55180.45313,10031448
2023-01-03,55400,56000,54500,55400,55081.03125,13547030
2023-01-04,55700,58000,55600,57800,57467.21094,20188071
2023-01-05,58200,58800,57600,58200,57864.91016,15682826
2023-01-06,58300,59400,57900,59000,58660.30469,17334989
2023-01-09,59700,60700,59600,60700,60350.51563,18640107
2023-01-10,60200,61100,59900,60400,60052.24219,14859797
2023-01-11,61000,61200,60300,60500,60151.66797,12310751
2023-01-12,61100,61200,59900,60500,60151.66797,16102561
2023-01-13,60500,61200,60400,60800,60449.94141,12510328
2023-01-16,61300,61600,60800,61100,60748.21094,10039972
2023-01-17,61200,61500,60600,61000,60648.78906,9831456
2023-01-18,60700,61000,59900,60400,60052.24219,11584041
2023-01-19,60500,61500,60400,61500,61145.91016,12808490
2023-01-20,62100,62300,61100,61800,61444.18359,9646327
2023-01-25,63500,63700,63000,63300,62935.54688,39217
2023-01-26,63800,63900,63300,63800,63432.66797,54188
2023-01-27,64400,65000,63900,64600,64228.0625,44282
2023-01-30,64900,64900,63100,63300,62935.54688,59628
2023-01-31,63500,63700,61000,61400,61046.48438,163847
2023-02-01,62600,62700,61000,61000,60648.78906,98585
2023-02-02,63200,63900,62600,63500,63134.39453,65992
2023-02-03,63900,64000,63000,63500,63134.39453,47567
2023-02-06,62800,63000,61600,61600,61245.33203,144104
2023-02-07,61900,62500,61600,62000,61643.03125,32873
2023-02-08,62800,63300,62400,63100,62736.69922,42558
2023-02-09,63000,63300,62300,63300,62935.54688,48035
2023-02-10,62600,63000,62400,62900,62537.84766,44786
2023-02-13,62900,63000,62300,62900,62537.84766,59395
2023-02-14,63600,63900,63200,63200,62836.12109,70606
2023-02-15,63900,63900,62000,62200,61841.87891,58370
2023-02-16,62500,63700,62400,63700,63333.24219,41448
2023-02-17,62900,63300,62400,62600,62239.57422,28613
2023-02-20,62900,63000,61800,62700,62339,29846
2023-02-21,62700,62800,62000,62100,61742.45313,60971
2023-02-22,61500,61800,61000,61100,60748.21094,39178
2023-02-23,61700,62500,61500,62000,61643.03125,37145
2023-02-24,62300,62600,61300,61300,60947.0625,50792
2023-02-27,60800,60800,60200,60500,60151.66797,11155697
2023-02-28,60800,61400,60500,60600,60251.08984,13715861
2023-03-02,60900,61800,60500,60800,60449.94141,13095682
2023-03-03,61000,61200,60500,60500,60151.66797,10711405
2023-03-06,61100,61600,60800,61500,61145.91016,13630602
2023-03-07,61400,61400,60700,60700,60350.51563,11473280
2023-03-08,60100,60500,59900,60300,59952.82031,14161857
2023-03-09,60500,60800,59900,60100,59753.96875,14334499
2023-03-10,59500,59700,59100,59500,59157.42578,11902471
2023-03-13,59900,60200,59300,60000,59654.54688,12779724
2023-03-14,59400,59500,59000,59000,58660.30469,12147346
2023-03-15,60000,60300,59600,59800,59455.69922,10482149
2023-03-16,59200,60200,59100,59900,59555.12109,10611939
2023-03-17,60800,61300,60600,61300,60947.0625,14090110
2023-03-20,61100,61200,60200,60200,59853.39453,9618009
2023-03-21,60500,60700,60100,60300,59952.82031,8318514
2023-03-22,61000,61200,60500,61100,60748.21094,8978591
2023-03-23,60600,62300,60600,62300,61941.30469,15381057
2023-03-24,62700,63300,62300,63000,62637.27344,18278602
2023-03-27,62600,62800,62000,62100,61742.45313,11039331
2023-03-28,62400,62900,62100,62900,62537.84766,11614118
2023-03-29,62500,62700,62200,62700,62339,11216008
2023-03-30,63700,63700,63100,63200,63200,15684377
2023-03-31,64000,64000,63700,64000,64000,14094479
2023-04-03,64000,64000,63000,63100,63100,11973133
2023-04-04,63400,63800,62800,63600,63600,11120514
2023-04-05,63700,64000,63400,63900,63900,9176149
2023-04-06,63500,63600,62300,62300,62300,14992747
2023-04-07,63800,65200,63800,65000,65000,27476120
2023-04-10,64800,66300,64700,65700,65700,18777166
2023-04-11,66200,66200,65400,65900,65900,16323183
2023-04-12,65800,66200,65300,66000,66000,15021313
2023-04-13,65600,66100,65400,66100,66100,15091022
2023-04-14,66600,66600,65000,65100,65100,16176490
2023-04-17,65000,65600,64700,65300,65300,13486618
2023-04-18,65900,66000,64800,65600,65600,14802060
2023-04-19,65500,65800,65300,65500,65500,10255985
2023-04-20,65100,65300,64600,65300,65300,9501169
2023-04-21,65800,65900,65400,65700,65700,10538622
2023-04-24,65300,65700,64800,65200,65200,12986581
2023-04-25,65300,65400,63400,63600,63600,16193271
2023-04-26,63600,64300,63300,64100,64100,12664541
2023-04-27,64100,65000,63300,64600,64600,14779601
2023-04-28,65200,65900,65000,65500,65500,19699481
